thermometer,946767600,1.02
thermometer,946767601,-2.36
thermometer,946767602,33.04
thermometer,946767603,32.89
thermometer,946767604,6.12
thermometer,946767605,31.73
thermometer,946767606,16.46
thermometer,946767607,7.94
thermometer,946767608,19.12
thermometer,946767609,1.07
thermometer,946767610,36.50
thermometer,946767611,28.48
thermometer,946767612,27.80
thermometer,946767613,26.69
thermometer,946767614,18.10
thermometer,946767615,25.90
thermometer,946767616,12.13
thermometer,946767617,29.02
thermometer,946767618,-1.83
thermometer,946767619,33.35
thermometer,946767620,22.22
thermometer,946767621,16.10
thermometer,946767622,15.65
thermometer,946767623,-3.49
thermometer,946767624,21.02
thermometer,946767625,12.79
thermometer,946767626,19.40
thermometer,946767627,38.00
thermometer,946767628,39.17
thermometer,946767629,13.63
thermometer,946767630,31.74
thermometer,946767631,-1.64
thermometer,946767632,27.52
thermometer,946767633,21.98
thermometer,946767634,10.70
thermometer,946767635,12.01
thermometer,946767636,14.39
thermometer,946767637,35.66
thermometer,946767638,-0.70
thermometer,946767639,10.12
thermometer,946767640,18.24
thermometer,946767641,20.67
thermometer,946767642,27.86
thermometer,946767643,2.56
thermometer,946767644,18.45
thermometer,946767645,26.34
thermometer,946767646,-4.84
thermometer,946767647,0.11
thermometer,946767648,3.45
thermometer,946767649,5.78
thermometer,946767650,15.52
thermometer,946767651,20.71
thermometer,946767652,-7.42
thermometer,946767653,11.51
thermometer,946767654,-2.96
thermometer,946767655,2.16
thermometer,946767656,36.56
thermometer,946767657,30.32
thermometer,946767658,38.44
thermometer,946767659,19.89
thermometer,946767660,21.35
thermometer,946767661,7.59
thermometer,946767662,9.91
thermometer,946767663,12.83
thermometer,946767664,8.02
thermometer,946767665,1.83
thermometer,946767666,-7.62
thermometer,946767667,9.07
thermometer,946767668,4.32
thermometer,946767669,17.23
thermometer,946767670,10.82
thermometer,946767671,40.03
thermometer,946767672,15.30
thermometer,946767673,35.36
thermometer,946767674,-9.07
thermometer,946767675,28.21
thermometer,946767676,-2.47
thermometer,946767677,29.12
thermometer,946767678,-0.72
thermometer,946767679,-8.02
thermometer,946767680,36.10
thermometer,946767681,27.77
thermometer,946767682,33.21
thermometer,946767683,3.27
thermometer,946767684,-3.64
thermometer,946767685,25.79
thermometer,946767686,13.74
thermometer,946767687,6.38
thermometer,946767688,34.16
thermometer,946767689,10.14
thermometer,946767690,11.76
thermometer,946767691,7.06
thermometer,946767692,33.92
thermometer,946767693,12.83
thermometer,946767694,11.25
thermometer,946767695,31.11
thermometer,946767696,36.42
thermometer,946767697,14.81
thermometer,946767698,12.50
thermometer,946767699,13.37
